#Frame         mn_hd1       mn_hd2       mn_hd3
       1       2.5043       2.3328       2.1560
       2       2.4660       2.2046       2.2241
       3       2.2733       2.1209       2.3041
       4       2.2956       2.2600       2.2160
       5       2.3464       2.1243       2.2512
       6       2.2646       2.2987       2.0976
       7       2.5818       2.2616       2.2555
       8       2.4286       2.1556       2.1479
       9       2.3061       2.3117       2.4318
      10       2.1969       2.3961       2.2526
      11       2.3866       2.0746       2.2613
      12       2.5144       2.2429       2.3464
      13       2.1391       2.1578       2.2186
      14       2.3653       2.2862       2.3314
      15       2.2788       2.3619       2.3272
      16       2.2853       2.2474       2.1176
      17       2.2051       2.3808       2.2439
      18       2.4474       2.3170       2.2625
      19       2.1736       2.2745       2.2153
      20       2.3353       2.3752       2.1446
      21       2.1991       2.3048       2.2426
      22       2.3664       2.2973       2.2049
      23       2.5238       2.3645       2.3400
      24       2.5678       2.2095       2.3116
      25       2.3387       2.3801       2.1998
      26       2.5050       2.3379       2.3154
      27       2.5979       2.1600       2.2313
      28       2.5746       2.1816       2.2966
      29       2.4502       2.2004       2.3467
      30       2.4226       2.2478       2.3953
      31       2.2079       2.4052       2.3059
      32       2.4212       2.2730       2.4223
      33       2.5352       2.0779       2.2615
      34       2.4725       2.2823       2.2512
      35       2.4479       2.2399       2.2405
      36       2.3740       2.3800       2.2176
      37       2.5307       2.1988       2.2631
      38       2.4488       2.1414       2.2193
      39       2.4002       2.1759       2.3747
      40       2.3386       2.2998       2.2455
      41       2.2503       2.2853       2.3184
      42       2.4393       2.0954       2.1919
      43       2.5748       2.3194       2.2364
      44       2.3132       2.3508       2.0375
      45       2.3642       2.2537       2.2990
      46       2.1334       2.3395       2.2100
      47       2.3931       2.2751       2.2781
      48       2.4420       2.0954       2.2234
      49       2.3543       2.3075       2.1997
      50       2.4031       2.2326       2.3753
      51       2.3854       2.3308       2.1678
      52       2.4344       2.1951       2.1659
      53       2.5122       2.2643       2.2953
      54       2.5299       2.3420       2.2397
      55       2.1222       2.3146       2.2140
      56       2.4117       2.2908       2.3379
      57       2.2595       2.1913       2.2531
      58       2.4844       2.2887       2.2286
      59       2.4327       2.3024       2.2945
      60       2.3832       2.2383       2.1414
      61       2.5484       2.1684       2.1546
      62       2.4300       2.2955       2.0963
      63       2.6191       2.3491       2.2423
      64       2.7214       2.2928       2.2981
      65       2.4327       2.3332       2.2896
      66       2.3597       2.3095       2.3754
      67       2.5658       2.2509       2.1127
      68       2.5237       2.2439       2.1970
      69       2.5351       2.2767       2.1157
      70       2.3554       2.3686       2.3114
      71       2.4182       2.1835       2.2391
      72       2.4046       2.3450       2.3929
      73       2.4787       2.0989       2.3316
      74       2.5641       2.2788       2.2846
      75       2.4909       2.2336       2.2476
      76       2.4567       2.2962       2.1054
      77       2.4208       1.9768       2.3095
      78       2.5663       2.1987       2.2775
      79       2.3429       2.2860       2.1711
      80       2.2584       2.1277       2.2414
      81       2.3915       2.2348       2.2555
      82       2.4801       2.3044       2.4019
      83       2.3627       2.2308       2.1175
      84       2.0816       2.2780       2.2681
      85       2.6377       2.1666       2.3658
      86       2.5510       2.0622       2.2785
      87       2.5204       2.2267       2.2345
      88       2.5655       2.0667       2.2365
      89       2.5391       2.4187       2.2846
      90       2.5822       2.2485       2.2846
      91       2.3108       2.2056       2.1631
      92       2.4772       2.0365       2.3323
      93       2.6449       2.4205       2.1552
      94       2.5931       2.0822       2.2770
      95       2.6531       2.2110       2.3002
      96       2.2713       2.4199       2.0519
      97       2.3376       2.1783       2.2442
      98       2.4181       2.3056       2.2119
      99       2.3500       2.1682       2.1913
     100       2.3341       2.2071       2.2833
     101       2.4493       2.1382       2.2398
     102       2.4838       2.3124       2.1255
     103       2.5550       2.2965       2.3062
     104       2.6122       2.2626       2.1132
     105       2.2569       2.3285       2.1947
     106       2.2737       2.1213       2.2841
     107       2.3002       2.3255       2.2509
     108       2.4710       2.3247       2.2820
     109       2.4436       2.1723       2.2163
     110       2.6420       2.1744       2.1387
     111       2.4328       2.3910       2.2869
     112       2.4639       2.2133       2.3220
     113       2.2870       2.3903       2.3141
     114       2.1744       2.2882       2.2243
     115       2.3608       2.4056       2.3426
     116       2.5256       2.2304       2.2567
     117       2.2856       2.2857       2.1869
     118       2.3007       2.4034       2.1999
     119       2.1854       2.2824       2.3241
     120       2.2769       2.3155       2.3903
     121       2.5437       2.1679       2.4533
     122       2.2140       2.3987       2.2406
     123       2.4236       2.2350       2.3336
     124       2.3472       2.2239       2.1934
     125       2.3315       2.1817       2.0781
     126       2.2950       2.2323       2.1776
     127       2.3102       2.1713       2.1468
     128       2.3748       2.3557       2.0949
     129       2.4370       2.2081       2.2495
     130       2.4389       2.3273       2.2667
     131       2.1312       2.3403       2.2713
