#Frame            rog     rog[Max]
       1      24.2290      51.4467
       2      24.2919      52.2924
       3      24.1097      35.8241
       4      24.0896      51.0053
       5      24.2319      51.0756
       6      24.3302      52.7048
       7      24.3110      37.6432
       8      24.2248      52.2595
       9      24.2083      52.1782
      10      24.1974      51.7493
      11      24.1638      52.8282
      12      24.1138      51.5838
      13      24.3170      52.9118
      14      24.4213      53.2597
      15      24.4135      53.3175
      16      24.3555      53.3957
      17      24.4071      53.2338
      18      24.2606      52.3938
      19      24.2326      51.6739
      20      24.2179      51.8744
      21      24.1479      51.0986
      22      24.1883      51.3352
      23      24.2298      51.1416
      24      24.2796      49.7346
      25      24.3057      50.2446
      26      24.2796      49.6391
      27      24.1934      49.8510
      28      24.2814      50.4327
      29      24.2210      49.6217
      30      24.2612      50.7217
      31      24.1516      50.1519
      32      24.1326      50.3802
      33      24.1244      50.3534
      34      24.1571      52.5185
      35      24.2326      53.2728
      36      24.2774      52.0869
      37      24.2496      51.5943
      38      24.2486      52.4764
      39      24.4144      53.2736
      40      24.2888      53.4544
      41      24.3644      52.8456
      42      24.3556      51.8824
      43      24.4577      51.8230
      44      24.4555      37.7569
      45      24.3894      51.5722
      46      24.3382      51.2882
      47      24.3184      53.5263
      48      24.3912      52.1030
      49      24.2732      50.1103
      50      24.2782      51.1991
      51      24.2801      50.4774
      52      24.2655      35.6564
      53      24.2644      36.8381
      54      24.3130      37.0953
      55      24.1366      36.6551
      56      24.1886      37.5597
      57      24.2764      35.9854
      58      24.3373      51.5182
      59      24.3569      50.9099
      60      24.2612      36.3250
      61      24.2914      37.4431
      62      24.2583      36.0332
      63      24.3334      38.0345
      64      24.2953      37.5488
      65      24.2591      37.8597
      66      24.2551      38.4244
      67      24.3632      37.6832
      68      24.3940      37.6511
      69      24.2695      36.8720
      70      24.3394      36.4014
      71      24.2995      51.9778
      72      24.2974      52.3087
      73      24.2975      51.7667
      74      24.1904      35.8449
      75      24.1064      35.5952
      76      24.0817      51.0226
      77      24.0796      50.6766
      78      24.3168      50.3113
      79      24.2542      50.9298
      80      24.1824      50.8918
      81      24.1975      49.6471
      82      24.2337      50.1052
      83      24.1873      49.2916
      84      24.1677      50.2471
      85      24.1351      50.2021
      86      24.2283      50.4869
      87      24.2537      49.7673
      88      24.2247      50.0574
      89      24.1737      49.2580
      90      24.1800      50.7058
      91      24.1303      49.5256
      92      24.1489      35.6547
      93      24.2027      49.8795
      94      24.2526      50.3901
      95      24.0989      36.7062
      96      24.1781      51.2497
      97      24.2475      49.4237
      98      24.4145      49.5920
      99      24.2521      49.7321
     100      24.3811      50.8100
     101      24.2746      50.5633
     102      24.4279      52.2142
     103      24.4263      50.0860
     104      24.2484      49.3116
     105      24.2729      49.1308
     106      24.3681      49.9654
     107      24.3622      49.6994
     108      24.2717      49.4164
     109      24.1082      49.2082
     110      24.2772      50.3026
     111      24.3033      50.3928
     112      24.3199      50.5400
     113      24.3841      50.6933
     114      24.3388      50.4792
     115      24.2975      51.6997
     116      24.3151      51.4938
     117      24.3249      50.6033
     118      24.2797      50.3064
     119      24.3052      50.7365
     120      24.1604      50.0172
     121      24.1801      50.8085
     122      24.1832      36.2452
     123      24.2069      49.5716
     124      24.3186      50.0365
     125      24.3108      50.1766
     126      24.2370      49.8617
     127      24.2194      49.3236
     128      24.2815      49.8622
     129      24.1287      48.9702
     130      24.1489      49.2955
     131      24.1463      49.2326
     132      24.2200      35.1171
     133      24.3880      50.9140
     134      24.4262      50.2297
     135      24.6242      37.6668
     136      24.5037      50.0576
     137      24.4313      35.7107
     138      24.4200      36.2756
     139      24.3237      35.5496
     140      24.4265      37.9046
     141      24.3861      36.0805
     142      24.4149      51.1266
     143      24.3562      50.5306
     144      24.3657      51.7785
     145      24.3232      52.0539
     146      24.4019      52.9718
     147      24.5173      53.3371
     148      24.4876      52.9178
     149      24.5165      52.9627
     150      24.4781      52.9457
     151      24.4976      53.2144
     152      24.4055      52.5489
     153      24.3311      51.8676
     154      24.4280      52.6775
     155      24.3542      51.9613
     156      24.3130      51.9502
     157      24.2380      52.3674
     158      24.4400      40.1927
     159      24.3334      39.9046
     160      24.3063      40.5496
     161      24.2927      39.9024
     162      24.3053      39.6317
     163      24.2936      38.4266
     164      24.2875      38.4869
     165      24.3543      37.6097
     166      24.3979      38.4958
     167      24.4351      36.7072
     168      24.2775      37.7555
     169      24.3353      51.2282
     170      24.2061      51.0512
     171      24.2564      50.8690
     172      24.2662      50.5462
     173      24.2786      35.5327
     174      24.1973      51.1289
     175      24.2409      51.3207
     176      24.2217      35.5492
     177      24.1879      35.8197
     178      24.0234      48.6947
     179      24.0697      50.9202
     180      24.2293      51.0230
     181      24.2774      36.1689
     182      24.2857      51.1028
     183      24.2924      51.4132
     184      24.2524      51.1489
     185      24.2553      35.5737
     186      24.3065      36.6829
     187      24.2919      37.4814
     188      24.2519      37.1913
     189      24.2862      37.6862
     190      24.4205      51.7566
     191      24.4715      37.4772
     192      24.3850      52.5135
     193      24.4289      52.0207
     194      24.3696      36.5723
     195      24.3773      37.5468
     196      24.3599      37.6318
     197      24.3388      52.5998
     198      24.4080      37.2147
     199      24.3147      37.1003
     200      24.3305      37.4043
     201      24.3998      36.6389
     202      24.4653      37.3765
     203      24.4274      51.7009
     204      24.4472      51.8143
     205      24.4225      36.6029
     206      24.4799      51.7949
     207      24.4751      51.5190
     208      24.3804      51.9572
     209      24.4629      52.7543
     210      24.5294      37.6571
     211      24.4552      38.0461
     212      24.5278      38.1672
     213      24.4719      52.9764
     214      24.5330      37.6437
     215      24.4596      37.2927
     216      24.3779      37.2288
     217      24.3045      37.3482
     218      24.4122      52.3285
     219      24.4161      38.4856
     220      24.4364      38.5931
     221      24.4419      38.9326
     222      24.2395      38.5396
     223      24.3746      39.1072
     224      24.4060      39.3496
     225      24.3425      38.4287
     226      24.3324      38.5032
     227      24.3433      38.2622
     228      24.4041      39.7620
     229      24.4169      39.9292
     230      24.3444      39.6135
     231      24.4171      37.5326
     232      24.4668      38.8518
     233      24.4462      40.5087
     234      24.3682      39.2042
     235      24.4845      38.9061
     236      24.5685      39.1774
     237      24.4340      39.7192
     238      24.5463      38.8152
     239      24.5996      54.4140
     240      24.4873      40.2284
     241      24.5364      39.7778
     242      24.4909      40.6960
     243      24.5506      40.2100
     244      24.4464      41.1908
     245      24.5105      41.8392
     246      24.4303      40.9189
     247      24.5304      40.8990
     248      24.4654      40.7931
     249      24.3395      38.4432
     250      24.3997      39.5690
     251      24.5192      41.2438
     252      24.4578      39.3774
     253      24.5165      39.7792
     254      24.4767      39.2888
     255      24.3774      40.1626
     256      24.4299      39.8759
     257      24.5416      41.7614
     258      24.4252      41.8725
     259      24.4479      42.2296
     260      24.5755      41.1878
     261      24.5373      41.5882
     262      24.5301      40.4038
     263      24.4791      40.8578
     264      24.3985      39.8403
     265      24.4289      42.0482
     266      24.3426      43.0420
     267      24.5085      42.7620
