#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
       1       2.1477       4.1373       2.1459
       2       2.0971       4.1165       2.3053
       3       2.1778       4.1571       2.3561
       4       2.1636       4.1333       2.5799
       5       2.1735       4.1165       2.3623
       6       2.0433       3.9637       2.4173
       7       2.0938       4.1506       2.3834
       8       2.1559       4.1113       2.5204
       9       2.1506       3.9553       2.2189
      10       2.0619       4.0128       2.4147
      11       2.1194       4.0979       2.3503
      12       2.0760       4.1475       2.3529
      13       1.9820       3.9368       2.3219
      14       1.9938       4.0118       2.3818
      15       2.1136       3.9449       2.4292
      16       2.1346       4.0695       2.2486
      17       2.0162       4.1393       2.5171
      18       2.1488       4.0289       2.2530
      19       2.0140       3.9818       2.3604
      20       2.0446       3.9448       2.2730
      21       1.9883       4.0159       2.3806
      22       2.0152       3.9997       2.4276
      23       2.0072       3.9721       2.2763
      24       2.1098       4.0936       2.3955
      25       2.0433       4.0847       2.2889
      26       2.0760       4.1557       2.4273
      27       2.0386       4.0258       2.3522
      28       2.0906       4.0022       2.2698
      29       2.0201       3.9455       2.3967
      30       2.0035       4.0518       2.5145
      31       2.1193       4.1406       2.3000
      32       2.1259       4.0931       2.4102
      33       2.1645       4.0725       2.4322
      34       2.0809       4.0157       2.0360
      35       2.1612       3.9984       2.5097
      36       2.1510       4.0809       2.3036
      37       2.1081       3.9360       2.3591
      38       2.1974       4.0871       2.4737
      39       2.1127       4.0210       2.2569
      40       2.1442       4.1259       2.4700
      41       2.0523       3.9676       2.1956
      42       2.0825       3.9761       2.4293
      43       1.9457       3.8605       2.2154
      44       2.0058       3.9841       2.2992
      45       1.9989       3.9372       2.2204
      46       2.0457       4.0803       2.4788
      47       2.2749       4.1535       2.3210
      48       2.1592       4.0456       2.3287
      49       2.0806       4.0547       2.3636
      50       2.1398       4.0724       2.3988
      51       1.8495       3.7984       2.2644
      52       2.0685       4.0503       2.3012
      53       2.1976       4.1258       2.3616
      54       2.1776       4.1185       2.3782
      55       2.0342       4.0045       2.4361
      56       2.1574       4.0959       2.1985
      57       1.9744       3.8801       2.2456
      58       2.1378       4.1135       2.3158
      59       2.1121       4.0530       2.3074
      60       2.2746       4.2111       2.3203
      61       2.1513       4.2081       2.3910
      62       2.1782       4.1236       2.4877
      63       2.0052       3.9871       2.3070
      64       2.1761       3.9826       2.3670
      65       1.9852       3.9917       2.3366
      66       2.0918       4.0975       2.4019
      67       2.0775       4.0985       2.3416
      68       2.0399       3.9963       2.4505
      69       2.0379       4.0134       2.4601
      70       2.1681       3.9649       2.3382
      71       2.0861       4.0434       2.2040
      72       2.0301       4.0473       2.3129
      73       2.1957       4.1350       2.4566
      74       2.0850       4.0950       2.2846
      75       2.1341       4.1117       2.2497
      76       2.0749       4.0626       2.3281
      77       2.1365       4.1461       2.2933
      78       2.0413       4.0769       2.4497
      79       2.0286       3.9725       2.1970
      80       1.9295       3.9984       2.2970
      81       2.3239       4.2341       2.3939
      82       2.0271       3.9949       2.4276
      83       2.1348       3.9010       2.1185
      84       2.0906       4.0897       2.2615
      85       2.0682       4.0902       2.6136
      86       2.0973       4.1391       2.2080
