#Frame            RoG     RoG[Max]
       1      23.9153      46.2269
       2      23.9139      46.2115
       3      23.8540      46.4972
       4      23.8258      46.1803
       5      23.7887      45.4225
       6      23.7929      45.5044
       7      23.8372      46.0693
       8      23.9429      46.2489
       9      24.0103      46.3610
      10      24.0128      46.4440
      11      23.9007      46.7454
      12      24.0204      46.3520
      13      24.1286      46.8345
      14      24.0678      46.0392
      15      24.1435      45.8629
      16      24.2634      46.7503
      17      24.1942      46.7844
      18      24.1838      46.9578
      19      24.0800      46.5370
      20      24.0283      46.1405
      21      24.0207      45.6251
      22      23.9206      45.8267
      23      23.9931      45.5605
      24      24.0017      46.3075
      25      24.1515      46.4703
      26      24.0766      46.6307
      27      24.0633      45.5832
      28      24.0849      46.5979
      29      24.0077      46.5978
      30      24.1190      46.8668
      31      24.0480      45.9615
      32      23.9571      46.4293
      33      24.0031      46.5210
      34      23.9493      45.8998
      35      23.9597      45.3970
      36      24.0501      45.7997
      37      24.0226      44.9277
      38      24.0370      45.5730
      39      23.8998      45.5105
      40      23.9681      45.4136
      41      24.0667      46.1269
      42      23.9458      44.9952
      43      23.9911      45.5502
      44      24.0727      45.6897
      45      24.0013      44.8876
      46      23.9403      44.8563
      47      23.8916      44.5245
      48      23.9800      45.3239
      49      23.9914      45.6812
      50      23.9229      45.0074
      51      24.1047      45.6651
      52      24.0419      45.8400
      53      24.1431      46.3794
      54      23.9794      45.2173
      55      24.1027      46.7674
      56      24.0730      46.7476
      57      24.1718      46.8504
      58      24.1439      46.8770
      59      24.2286      47.1319
      60      24.1701      46.3259
      61      24.1782      46.4428
      62      24.0761      46.0727
      63      24.1180      46.1912
      64      24.1013      46.6021
      65      24.1154      46.3558
      66      23.9639      45.9307
      67      24.0433      45.6628
      68      24.0966      46.2560
      69      24.0655      46.4185
      70      24.0067      46.4139
      71      24.0568      45.9580
      72      24.0089      45.5446
      73      24.0360      45.5647
      74      23.9161      45.3469
      75      23.9361      45.2308
      76      24.0319      45.9520
      77      24.1074      47.1409
      78      24.0756      46.4391
      79      24.0650      46.2384
      80      24.1954      47.1890
      81      24.1112      47.1244
      82      24.1094      46.8765
      83      24.1727      45.8999
      84      24.2081      47.3803
      85      24.1871      46.6687
      86      24.0911      46.9733
      87      24.1531      47.3521
      88      24.0653      46.7237
      89      24.1335      46.7932
      90      24.0230      46.5160
      91      23.9814      47.2585
      92      23.9291      45.7537
      93      23.9119      45.2551
      94      24.0143      45.9103
      95      24.0703      45.0248
      96      24.0929      45.1393
      97      24.0153      45.1741
      98      24.0519      45.6022
      99      24.0540      45.9663
     100      23.9828      45.8040
     101      23.9434      45.1096
     102      24.0026      46.4863
     103      24.0622      46.0556
     104      24.0425      45.4993
     105      23.9725      46.3604
     106      23.8773      46.0434
     107      23.8978      45.7472
     108      23.9300      45.7496
     109      23.9901      45.7050
     110      23.7956      44.9236
     111      23.9510      45.7175
     112      23.9037      45.1335
     113      23.9956      46.6914
     114      23.9880      46.7001
     115      23.9997      46.7372
     116      24.0259      46.7584
     117      24.0623      47.4474
     118      24.0907      47.0392
     119      24.1639      47.2770
     120      24.1569      46.6189
     121      24.1515      47.3009
     122      24.0907      46.9802
     123      24.0593      45.9978
     124      24.1147      46.0103
     125      24.0483      45.5960
     126      24.0535      45.9963
     127      23.9243      45.1670
     128      23.9518      46.5027
     129      24.0647      46.8883
     130      24.0294      45.8806
     131      24.0711      47.2756
     132      24.0138      46.1451
     133      24.1316      46.6816
     134      24.0594      46.3560
     135      24.0168      46.2225
     136      24.0094      46.6737
     137      24.0711      46.4310
     138      23.9188      46.2809
     139      24.0442      45.9627
     140      24.0117      46.5678
     141      24.0673      46.4677
     142      24.1410      46.9551
     143      24.0894      47.6854
     144      24.0922      48.1492
     145      24.2237      47.8441
     146      24.2291      47.8184
     147      24.2436      49.0585
     148      24.2081      48.3346
     149      24.2635      48.2563
     150      24.2072      47.9384
     151      24.2104      48.0328
     152      24.2221      47.5538
     153      24.0956      46.9151
     154      24.1894      46.5932
     155      24.1934      47.9382
     156      24.0608      48.1007
     157      24.0120      46.6334
     158      24.1053      46.9399
     159      24.0540      46.4153
     160      23.9369      46.1988
     161      24.0681      46.5100
     162      24.0895      46.7672
     163      24.0978      47.2107
     164      23.9970      46.8815
     165      24.0775      47.0437
     166      24.1290      47.3534
     167      24.2208      47.4820
     168      24.1648      47.6314
     169      24.1412      47.2227
     170      24.2305      47.2229
     171      24.2543      46.7440
     172      24.2467      46.8339
     173      24.2085      46.4076
     174      24.1695      46.8821
     175      24.0771      47.3015
     176      24.1696      47.4431
     177      24.1467      47.8707
     178      24.2684      47.5133
     179      24.2282      48.0964
     180      24.2087      47.4086
     181      24.2636      47.6008
     182      24.2645      48.3135
     183      24.2021      47.6574
     184      24.1505      47.8724
     185      24.0848      47.7422
     186      24.2356      47.9844
     187      24.1282      48.3684
     188      24.2653      48.1466
     189      24.1073      47.0165
     190      24.1989      47.7932
     191      24.1337      47.7698
     192      24.0894      47.1096
     193      24.1831      47.5230
     194      24.2656      48.1171
     195      24.1873      47.4724
