#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
       1       2.0676       4.0610       2.3660
       2       2.0177       3.9911       2.3792
       3       2.1753       4.2070       2.3458
       4       2.0358       4.0249       2.4881
       5       2.0275       4.0625       2.4411
       6       2.0793       3.9493       2.2304
       7       2.0412       4.0676       2.5857
       8       1.9549       3.8701       2.4318
       9       2.1160       3.9977       2.2403
      10       2.1560       4.2120       2.3429
      11       1.9651       3.9676       2.4372
      12       2.0515       4.0688       2.3986
      13       2.0151       4.0337       2.5525
      14       2.0956       4.0175       2.3667
      15       2.1526       4.1113       2.3117
      16       2.1993       4.1238       2.4099
      17       2.0542       4.0920       2.3750
      18       2.2275       4.2295       2.4246
      19       2.1255       4.0456       2.3569
      20       2.1265       4.0993       2.3079
      21       2.1195       4.0962       2.2985
      22       2.0765       4.1322       2.4227
      23       2.1133       4.1042       2.4133
      24       2.1690       4.1335       2.4242
      25       2.0733       3.9896       2.2726
      26       2.0190       4.0296       2.2674
      27       1.9667       3.9224       2.3093
      28       2.1965       4.0640       2.2222
      29       2.0171       4.0180       2.3737
      30       2.1051       4.0455       2.3727
      31       2.0500       4.0495       2.3463
      32       1.9662       4.0942       2.5421
      33       2.1356       4.0986       2.4156
      34       2.1538       4.0892       2.5068
      35       2.0153       3.9608       2.4162
      36       2.0658       4.0375       2.4834
      37       2.1274       4.0970       2.3090
      38       2.0978       4.0275       2.2585
      39       1.9865       3.9989       2.2729
      40       2.0996       3.9506       2.4236
      41       1.9829       3.8744       2.3609
      42       2.0458       4.1407       2.1229
      43       2.1460       4.0449       2.1779
      44       2.0559       4.0972       2.2853
      45       2.0315       3.9851       2.4708
      46       2.0476       4.0372       2.5417
      47       2.0437       4.1290       2.6525
      48       2.1467       4.1150       2.2739
      49       2.1716       4.1454       2.2565
      50       2.1860       4.0105       2.4668
      51       2.1579       3.9897       2.3289
      52       2.0521       4.0656       2.1662
      53       2.0680       4.0875       2.4784
      54       2.1329       4.1220       2.4190
      55       2.0142       3.8958       2.3423
      56       2.1048       4.1116       2.3588
      57       2.1124       4.0366       2.2237
      58       2.0704       4.0263       2.3351
      59       2.0240       4.0238       2.3210
      60       2.0840       4.0354       2.2173
      61       2.0436       4.0674       2.2860
      62       2.1414       4.0280       2.3436
      63       2.1191       4.0509       2.1874
      64       2.1451       4.1105       2.4161
      65       2.0486       3.9956       2.3286
      66       2.1598       4.0962       2.1523
      67       2.1043       4.1042       2.2303
      68       2.2276       4.0734       2.3424
      69       2.1664       4.1389       2.4669
      70       2.1032       4.1691       2.4319
      71       2.1211       4.0652       2.4289
      72       2.1431       4.1985       2.4592
      73       2.0405       4.0385       2.4413
      74       2.0676       4.0045       2.1550
      75       2.1819       4.1789       2.2299
      76       2.0658       4.0882       2.2704
      77       2.0000       4.0413       2.2904
      78       2.0412       3.8882       2.3606
      79       2.0074       3.9362       2.3684
