#Frame            RoG     RoG[Max]
       1      24.2954      47.6224
       2      24.3440      48.0981
       3      24.1422      47.4714
       4      24.1314      46.6219
       5      24.2789      47.2370
       6      24.3606      48.3923
       7      24.3515      47.9086
       8      24.2731      48.0078
       9      24.2549      47.6048
      10      24.2405      47.7399
      11      24.2055      48.3295
      12      24.1516      47.2139
      13      24.3582      48.1241
      14      24.4642      48.7211
      15      24.4482      48.6559
      16      24.3945      48.7486
      17      24.4621      49.3526
      18      24.3048      48.0131
      19      24.2780      47.4723
      20      24.2376      47.6304
      21      24.1967      46.8461
      22      24.2190      47.2933
      23      24.2683      47.2054
      24      24.3136      47.8889
      25      24.3410      47.6511
      26      24.2963      46.7036
      27      24.2217      47.3202
      28      24.2916      47.6139
      29      24.2192      47.6564
      30      24.2862      47.7077
      31      24.1713      47.0400
      32      24.1672      47.6239
      33      24.1601      47.8290
      34      24.1902      48.7356
      35      24.2750      49.8547
      36      24.3062      49.5826
      37      24.2705      49.2406
      38      24.2824      48.8497
      39      24.4590      49.8519
      40      24.3264      49.4132
      41      24.4017      49.6755
      42      24.3709      48.6333
      43      24.4973      49.2401
      44      24.4876      49.9680
      45      24.4029      48.3097
      46      24.3615      48.4459
      47      24.3433      49.7056
      48      24.4181      49.4612
      49      24.3005      48.1399
      50      24.2912      48.6869
      51      24.3027      49.0276
      52      24.3014      48.8697
      53      24.3006      48.5214
      54      24.3421      48.7962
      55      24.1631      47.5407
      56      24.2183      47.7308
      57      24.3025      47.6385
      58      24.3601      49.0311
      59      24.3704      49.3793
      60      24.2524      48.2356
      61      24.2653      48.1670
      62      24.2395      48.1938
      63      24.3198      48.0249
      64      24.2829      48.3672
      65      24.2503      48.4803
      66      24.2445      48.1809
      67      24.3548      48.4306
      68      24.3975      48.2541
      69      24.2699      48.2812
      70      24.3345      48.4871
      71      24.3017      48.1800
      72      24.3020      47.9319
      73      24.2778      48.3268
      74      24.1960      47.8068
      75      24.0949      47.8024
      76      24.0794      47.1557
      77      24.0686      47.2081
      78      24.3249      47.5887
      79      24.2647      47.5836
      80      24.1946      47.7369
      81      24.1914      47.4093
      82      24.2259      47.4450
      83      24.1784      47.5583
      84      24.1445      47.8242
      85      24.1188      47.4745
      86      24.2202      47.7210
      87      24.2367      47.7330
      88      24.2230      47.8026
      89      24.1706      47.4341
      90      24.1840      47.4203
      91      24.1433      47.8901
      92      24.1593      48.1930
      93      24.2132      47.8277
      94      24.2890      47.5527
      95      24.1157      47.8043
      96      24.2047      47.5143
      97      24.2624      47.3500
      98      24.4252      47.9448
      99      24.2564      47.3661
     100      24.4002      48.1145
     101      24.2867      47.7278
